Date,Athlete_Name,MPH,Spin_Direction,Gyro_Degree,Vertical_Break_Inches,Horizontal_Break_Inches,Total_Spin,Spin_Efficiency,True_Spin,Release_Angle,Release_Height,Horizontal_Angle,Release_Size,Pitch_Count,Pitch_Type,Strike,pitch_horizontal_offset,pitch_vertical_offset
11-19-2022,Martin,79.1,0:52,36,16.6,7.9,2186,81,1769,0,5.3,0,0.6,,4 Seam Fastball,Yes,,
11-19-2022,Martin,76.3,0:52,50,13.7,6.1,2151,65,1396,2,5.3,-1,0.7,,4 Seam Fastball,No,,
11-19-2022,Martin,72.5,0:52,50,13.4,5.8,2076,64,1332,2,5.1,-1,1,,4 Seam Fastball,Yes,,
11-19-2022,Martin,72.9,0:52,48,13.9,5.9,2111,66,1403,1,5.1,-2,0.6,,4 Seam Fastball,Yes,,
9-22-2022,Martin,64.5,9:32,81,1.3,-5.2,1908,16,310,2,5.5,-2,1.1,,Curveball,No,,
9-22-2022,Martin,60.8,7:48,58,-7.2,-12.2,2185,53,1160,4,5.4,1,1.3,,Curveball,No,,
9-22-2022,Martin,62.9,8:00,58,-5.8,-12.1,2064,53,1088,2,5.2,2,1.4,,Curveball,No,,
9-22-2022,Martin,67.1,8:44,73,-0.6,-7.9,2088,29,611,2,5.4,-2,1.3,,Curveball,Yes,,
9-22-2022,Martin,66.1,7:42,68,-5.6,-8.7,2116,38,802,2,5.3,-2,1.5,,Curveball,No,,
9-22-2022,Martin,66.2,8:00,69,-4.2,-9.1,2252,35,790,-1,5.4,-2,1.2,,Curveball,No,,
9-22-2022,Martin,67,8:42,81,-0.4,-5.1,2056,16,327,2,5.4,0,1.2,,Curveball,No,,
9-22-2022,Martin,64.1,7:40,68,-5.3,-8.3,2039,37,750,1,5.3,0,1.3,,Curveball,No,,
9-22-2022,Martin,65.3,9:06,61,1,-12.9,2136,49,1036,2,5.4,-2,1.2,,Curveball,No,,
9-22-2022,Martin,65.8,8:46,73,-0.5,-8.3,2146,29,614,3,5.3,-1,1.3,,Curveball,Yes,,
9-22-2022,Martin,68.4,1:04,58,9.7,5.3,1830,54,982,0,5.3,-2,1.2,,Changeup,Yes,,
9-22-2022,Martin,67.7,0:58,68,7.7,3.1,1949,38,742,0,5.3,-1,1.1,,Changeup,No,,
9-22-2022,Martin,68.5,1:24,44,11.9,10.2,1791,72,1292,1,5.2,-2,1.3,,Changeup,Yes,,
9-22-2022,Martin,70.2,1:16,48,12.1,9,1979,67,1333,1,5.3,-1,1.3,,Changeup,No,,
9-22-2022,Martin,69.5,1:26,52,9.9,8.5,1877,62,1163,1,5.3,-2,1.3,,Changeup,Yes,,
9-22-2022,Martin,69.1,0:40,55,12.5,3.7,1893,58,1099,0,5.3,-2,1.2,,Changeup,No,,
9-22-2022,Martin,71,1:10,41,13.2,8.9,1952,75,1464,-2,5.3,-2,1.4,,Changeup,No,,
9-22-2022,Martin,70.8,1:24,46,11.1,9.7,1994,69,1377,2,5.2,0,1.3,,Changeup,No,,
9-22-2022,Martin,69.1,1:10,48,11.6,7.4,1815,67,1207,-1,5.1,-2,1.3,,Changeup,No,,
9-22-2022,Martin,70.6,1:14,42,13.1,9.2,1851,74,1372,-2,5.3,-5,1.2,,Changeup,No,,
9-22-2022,Martin,69.4,11:34,75,5.8,-2.5,2077,25,529,0,5.2,0,1.1,,Slider,No,,
9-22-2022,Martin,66.8,8:54,73,-0.1,-8.3,2095,30,628,2,5.3,1,1.1,,Slider,No,,
9-22-2022,Martin,67.4,9:28,73,1.8,-7.6,1947,29,567,2,5.3,-1,1.1,,Slider,Yes,,
9-22-2022,Martin,66.1,9:34,81,1.3,-5,1987,16,325,3,5.4,-2,0.8,,Slider,No,,
9-22-2022,Martin,64.9,7:34,66,-6.6,-9.1,2124,41,878,3,5,2,1.2,,Slider,No,,
9-22-2022,Martin,66.7,9:06,74,0.6,-7.8,2121,28,596,3,5.3,0,1.2,,Slider,No,,
9-22-2022,Martin,65.5,8:36,73,-1,-8.1,2081,29,596,4,5.1,1,1.2,,Slider,No,,
9-22-2022,Martin,65.1,8:24,70,-2.2,-9,2036,34,686,1,5.2,1,1.4,,Slider,No,,
9-22-2022,Martin,69.1,9:46,76,2.5,-6.5,2138,25,525,-1,5.2,-2,1.1,,Slider,No,,
9-22-2022,Martin,66.6,8:44,81,-0.3,-5,2048,16,321,2,5.3,-2,1.2,,Slider,Yes,,
9-22-2022,Martin,75.1,0:54,38,15.1,7.4,2025,79,1591,0,5.4,0,0.8,,4 Seam Fastball,No,,
9-22-2022,Martin,76.2,0:34,42,15.8,4.3,2108,74,1567,1,5.4,-1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77,0:52,40,14.9,7.2,2098,76,1602,-2,5.2,1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.5,0:50,28,17.2,7.9,2084,88,1840,-1,5.3,-1,1,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.6,1:12,40,13.4,9.3,2091,77,1606,1,5.2,-3,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,76.7,0:30,40,16.1,4.1,2066,76,1580,-1,5.3,-1,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.2,0:52,27,17.3,8.3,2049,89,1820,0,5.2,-2,1.1,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.6,0:30,43,15.8,3.9,2135,73,1568,-2,5.2,-2,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.2,0:52,38,15.4,7.2,2073,79,1635,-1,5.3,-1,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.3,0:38,41,15.8,5.1,2174,76,1645,1,5.3,-1,1.2,,4 Seam Fastball,No,,
9-22-2022,Martin,77,0:44,48,13.5,5.1,2152,66,1428,-1,5.2,-2,1.4,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.1,0:46,53,12.6,4.7,2126,61,1289,1,5.4,-1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.4,0:56,39,14.9,7.4,2135,77,1653,-2,5.1,-1,1.4,,4 Seam Fastball,No,,
9-22-2022,Martin,76.5,1:01,43,13.4,8.9,2146,74,1581,0,5.2,-3,1.3,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.2,0:36,40,16.1,4.9,2122,76,1617,0,5.2,-1,1.4,,4 Seam Fastball,Yes,,
9-22-2022,Martin,74.6,1:08,42,13.3,8.5,2038,74,1513,-2,5.1,-3,1.2,,4 Seam Fastball,No,,
9-22-2022,Martin,73.4,1:00,34,16,8.8,1973,83,1636,1,5.2,-2,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,70.5,0:36,39,15.9,4.7,1929,78,1501,0,5.3,-2,1.2,,4 Seam Fastball,Yes,,
9-22-2022,Martin,70.5,1:06,35,14.7,9.1,1846,82,1521,-1,5.1,-3,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,71.1,0:58,34,16.2,8.7,1909,83,1581,0,5.4,-4,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,68.5,0:58,36,14.5,7.6,1682,80,1353,1,5.4,-1,1.2,,4 Seam Fastball,Yes,,
